gene_raw	rna_log2fc	rna_fdr	gene_name	peak_id	chrom	start	end	midpoint	gene_id	gene_type	tss	distance_to_tss	abs_distance_to_tss	link_class	atac_delta	atac_fdr	abs_atac_delta	atac_strength	rna_strength	combined_evidence_score
CTHRC1	3.145227147803196	3.811903336490471e-50	CTHRC1	chr8:103344750-103345249	chr8	103344750	103345249	103344999	ENSG00000164932	protein_coding	103371515	-26516	26516	proximal	1.8735247	2.292655750426508e-06	1.8735247	7.51318585107642	52.56408526868084	60.07727111975726
SLC43A3	1.7041257898985531	1.6205606866480776e-49	SLC43A3	chr11:57426922-57427421	chr11	57426922	57427421	57427171	ENSG00000134802	protein_coding	57427580	-409	409	promoter	1.7067709	2.023988016675432e-08	1.7067709	9.400562963130232	50.49446049079513	59.89502345392536
SEMA6A-AS1	2.299113140146228	4.9112624769104835e-48	SEMA6A-AS1	chr5:116491940-116492439	chr5	116491940	116492439	116492189	ENSG00000248445	antisense	116447547	44642	44642	proximal	1.8752482	3.560854029481188e-07	1.8752482	8.323694029046944	49.607919995013255	57.931614024060195
CMTM3	1.5164182657887484	2.438483789187649e-48	CMTM3	chr16:66618510-66619009	chr16	66618510	66619009	66618759	ENSG00000140931	protein_coding	66603874	14885	14885	proximal	2.2591248	4.376458287749917e-07	2.2591248	8.618002006459912	49.1292983930007	57.74730039946061
GRB10	1.4304970535818262	8.071885612487869e-50	GRB10	chr7:50771252-50771751	chr7	50771252	50771751	50771501	ENSG00000106070	protein_coding	50793462	-21961	21961	proximal	-1.5163825	1.84597330614835e-05	1.5163825	6.250157083416441	50.523522054740646	56.773679138157085
TMEM92-AS1	3.666749143238261	3.978817371070269e-44	TMEM92-AS1	chr17:50289955-50290454	chr17	50289955	50290454	50290204	ENSG00000251179	antisense	50287855	2349	2349	proximal	1.6599739	5.718633597369926e-08	1.6599739	8.902681628551779	47.06699513788345	55.96967676643523
MAP3K12	1.3407973602244714	1.1284515839877808e-45	MAP3K12	chr12:53496232-53496731	chr12	53496232	53496731	53496481	ENSG00000139625	protein_coding	53500063	-3582	3582	proximal	1.5888886	1.9755062769709144e-06	1.5888886	7.293210186053655	46.288314429737596	53.58152461579125
CTSH	-1.2531877890964809	8.488929841466693e-43	CTSH	chr15:78934164-78934663	chr15	78934164	78934663	78934413	ENSG00000103811	protein_coding	78949574	-15161	15161	proximal	-1.7177753	4.882930414856305e-07	1.7177753	8.029094764669237	43.32433484481717	51.35342960948641
LTBR	1.0202041058164977	8.200448365961149e-43	LTBR	chr12:6372368-6372867	chr12	6372368	6372867	6372617	ENSG00000111321	protein_coding	6375045	-2428	2428	proximal	1.3999903	4.4530592371980245e-07	1.3999903	7.751331827591186	43.10636650739139	50.85769833498258
COL27A1	1.7555812439268574	3.913646846696703e-43	COL27A1	chr9:114163456-114163955	chr9	114163456	114163955	114163705	ENSG00000196739	protein_coding	114155560	8145	8145	proximal	-1.5251188	9.98009188976718e-06	1.5251188	6.525984260011716	44.16299960999643	50.68898387000815
Y_RNA	5.618419115366999	2.954312416791892e-37	Y_RNA	chr5:159981667-159982166	chr5	159981667	159982166	159981916	ENSG00000199398	misc_RNA	160008445	-26529	26529	proximal	2.548195	1.262622730797144e-06	2.548195	8.446921396403479	42.14796269557778	50.59488409198126
RASGRP3	1.0370939112301836	3.895704740602313e-42	RASGRP3	chr2:33405727-33406226	chr2	33405727	33406226	33405976	ENSG00000152689	protein_coding	33436324	-30348	30348	proximal	1.991353	4.680162228162992e-06	1.991353	7.321092092743205	42.44650787739382	49.76759997013703
BCKDHB	-1.2936452825332263	9.833179657929131e-39	BCKDHB	chr6:80128385-80128884	chr6	80128385	80128884	80128634	ENSG00000083123	protein_coding	80106647	21987	21987	proximal	1.7910321	3.5792559558128053e-07	1.7910321	8.237239343710462	39.300951308485054	47.53819065219552
FZD1	1.260162785500238	1.090015920283338e-37	FZD1	chr7:91249814-91250313	chr7	91249814	91250313	91250063	ENSG00000157240	protein_coding	91264364	-14301	14301	proximal	2.109967	7.221276750732846e-07	2.109967	8.251353010632924	38.22272994440299	46.47408295503592
CDCA7	2.008591075211907	1.762485195208573e-37	CDCA7	chr2:173354597-173355096	chr2	173354597	173355096	173354846	ENSG00000144354	protein_coding	173354820	26	26	promoter	1.3416015	1.0755531582487838e-05	1.3416015	6.3099696201313815	38.76246559758604	45.07243521771743
LINC01426	2.671174126241511	2.877574017474669e-34	LINC01426	chr21:34771463-34771962	chr21	34771463	34771962	34771712	ENSG00000234380	antisense	34745757	25955	25955	proximal	2.1741781	1.966750916706103e-06	2.1741781	7.880428738733353	36.2121476227955	44.09257636152885
LINC00160	4.371454389112417	1.940563031107161e-30	LINC00160	chr21:34705046-34705545	chr21	34705046	34705545	34705295	ENSG00000230978	lincRNA	34737181	-31886	31886	proximal	2.2057133	2.6092603822151655e-07	2.2057133	8.789195879804838	34.083526635559984	42.87272251536482
G6PC	-3.5409282526537997	6.672552890437727e-32	G6PC	chr17:42900299-42900798	chr17	42900299	42900798	42900548	ENSG00000131482	protein_coding	42900797	-249	249	promoter	-1.6923072	3.9390774518731973e-07	1.6923072	8.096912679817807	34.71663622771629	42.8135489075341
LINC01271	3.710012252919196	7.142361862079531e-31	LINC01271	chr20:50333753-50334252	chr20	50333753	50334252	50334002	ENSG00000233077	lincRNA	50321342	12660	12660	proximal	2.1941285	4.376458287749917e-07	2.1941285	8.553005706459913	33.85617040332073	42.409176109780645
LGR6	-1.583907437299019	1.975090178974688e-30	LGR6	chr1:202235784-202236283	chr1	202235784	202236283	202236033	ENSG00000133067	protein_coding	202193901	42132	42132	proximal	2.1772308	3.655247028237048e-07	2.1772308	8.614314067303944	31.288320507798822	39.902634575102766
Metazoa_SRP	3.566647066651828	2.888289341835344e-29	Metazoa_SRP	chr10:14397029-14397528	chr10	14397029	14397528	14397278	ENSG00000278100	misc_RNA	14391875	5403	5403	proximal	2.7078142	2.53761633646232e-05	2.7078142	7.303388238487411	32.106006369004874	39.40939460749229
MEIS3	1.4591170249185004	6.047268628882703e-27	MEIS3	chr19:47428145-47428644	chr19	47428145	47428644	47428394	ENSG00000105419	protein_coding	47419523	8871	8871	proximal	2.4544773	3.359753753193196e-07	2.4544773	8.928169852237657	27.677557763861724	36.60572761609938
FHOD3	-1.2839190929563806	2.0539901660489164e-28	FHOD3	chr18:36309420-36309919	chr18	36309420	36309919	36309669	ENSG00000134775	protein_coding	36297714	11955	11955	proximal	1.3850911	5.909352119463355e-06	1.3850911	6.613551231024953	28.971320732975023	35.58487196399997
EVC	-1.211423200827627	8.479428208161699e-25	EVC	chr4:5730826-5731325	chr4	5730826	5731325	5731075	ENSG00000072840	protein_coding	5711197	19878	19878	proximal	-2.7003617	7.032953953839687e-07	2.7003617	8.853223925990378	25.283056633289387	34.13628055927977
DHRS4	-1.0512745142472222	2.25909613298073e-25	DHRS4	chr14:23951781-23952280	chr14	23951781	23952280	23952030	ENSG00000157326	protein_coding	23953586	-1556	1556	promoter	-1.7837917	3.2125640649360854e-06	1.7837917	7.276939902875965	25.697339802080847	32.974279704956814
AL353803.1	2.5051563175387788	3.4575482012646194e-24	AL353803.1	chr9:129473813-129474312	chr9	129473813	129474312	129474062	ENSG00000264298	miRNA	129478556	-4494	4494	proximal	-1.2223184	2.532765971428063e-06	1.2223184	6.818723337336542	25.966388074267968	32.78511141160451
GXYLT2	1.9475943281541008	7.148434611779651e-23	GXYLT2	chr3:72891011-72891510	chr3	72891011	72891510	72891260	ENSG00000172986	protein_coding	72888073	3187	3187	proximal	2.7290082	1.86986391097286e-06	2.7290082	8.45719820034277	24.09338337920581	32.55058157954858
CLIC3	1.6346424714854224	8.756672225948962e-23	CLIC3	chr9:137007697-137008196	chr9	137007697	137008196	137007946	ENSG00000169583	protein_coding	136996803	11143	11143	proximal	-2.3768542	6.209238261198094e-07	2.3768542	8.583815875064909	23.69230337770167	32.27611925276658
MIOX	-2.327758691832242	7.155843134965029e-22	MIOX	chr22:50490866-50491365	chr22	50490866	50491365	50491115	ENSG00000100253	protein_coding	50486784	4331	4331	proximal	-1.8978364	3.3021242199824536e-06	1.8978364	7.379042993387522	23.473097880110995	30.852140873498517
RPL3P4	1.2827660578784144	1.0773389795045372e-17	RPL3P4	chr14:98957117-98957616	chr14	98957117	98957616	98957366	ENSG00000232573	processed_pseudogene	98973301	-15935	15935	proximal	2.8433309	2.476551254502914e-10	2.8433309	12.449483579465314	18.250413684417648	30.69989726388296
TUBA8	1.392618283490933	1.6953117758804718e-21	TUBA8	chr22:18110115-18110614	chr22	18110115	18110614	18110364	ENSG00000183785	protein_coding	18110331	33	33	promoter	-1.524895	2.272758176779687e-07	1.524895	8.168341771084187	22.16336870479069	30.33171047587488
AC004870.4	-2.998056659288711	2.5204293019336898e-18	AC004870.4	chr7:46930261-46930760	chr7	46930261	46930760	46930510	ENSG00000223829	processed_transcript	46969702	-39192	39192	proximal	2.5822148	1.3706590072630091e-06	2.5822148	8.44528537561428	20.59658213930811	29.04186751492239
ALDH1B1	-1.2807785230276514	4.3161464918346616e-21	ALDH1B1	chr9:38380984-38381483	chr9	38380984	38381483	38381233	ENSG00000137124	protein_coding	38392664	-11431	11431	proximal	-1.8565501	3.2371289594488826e-06	1.8565501	7.346390099002912	21.64568234662851	28.992072445631422
NEAT1	1.6494370157299634	1.977833094808639e-21	NEAT1	chr11:65412646-65413145	chr11	65412646	65413145	65412895	ENSG00000245532	lincRNA	65422774	-9879	9879	proximal	-1.0803993	7.5170950471677616e-06	1.0803993	6.204349258440946	22.353247376124006	28.557596634564952
ENTPD8	-1.7338120768572671	4.300101896537935e-20	ENTPD8	chr9:137437592-137438091	chr9	137437592	137438091	137437841	ENSG00000188833	protein_coding	137441816	-3975	3975	proximal	-1.4259074	2.508669696356933e-06	1.4259074	7.026463916243269	21.100333329980046	28.126797246223315
CD82	-1.3458145588043269	4.174727049048106e-20	CD82	chr11:44574547-44575046	chr11	44574547	44575046	44574796	ENSG00000085117	protein_coding	44564427	10369	10369	proximal	1.7828736	2.643941693136753e-06	1.7828736	7.360621726579809	20.725186472988867	28.085808199568675
RN7SL130P	1.5684158380625115	8.271528599978103e-20	RN7SL130P	chr1:63662068-63662567	chr1	63662068	63662567	63662317	ENSG00000244256	misc_RNA	63655743	6574	6574	proximal	1.9472911	6.676194946808888e-06	1.9472911	7.122762090284097	20.650830062344305	27.773592152628403
LINC01508	1.5149203058773957	9.288111362579024e-21	LINC01508	chr9:90458404-90458903	chr9	90458404	90458903	90458653	ENSG00000231107	lincRNA	90433505	25148	25148	proximal	-1.371787	1.4300110983743192e-05	1.371787	6.216447591944714	21.546992892012554	27.763440483957268
SERPINA2	-2.8104298388961886	1.2361631261788205e-17	SERPINA2	chr14:94373647-94374146	chr14	94373647	94374146	94373896	ENSG00000258597	polymorphic_pseudogene	94366698	7198	7198	proximal	1.9065659	3.3021242199824536e-06	1.9065659	7.387772493387521	19.718354054126635	27.106126547514158
