peak_id	chrom	start	end	midpoint	gene_id	gene_name	gene_type	tss	distance_to_tss	abs_distance_to_tss	link_class	atac_delta	atac_fdr
chr13:44815638-44816137	chr13	44815638	44816137	44815887	ENSG00000235097	LINC00330	lincRNA	44809630	6257	6257	proximal	2.173481	6.721915749354547e-07
chr10:5573320-5573819	chr10	5573320	5573819	5573569	ENSG00000242147	RP13-463N16.6	lincRNA	5596118	-22549	22549	proximal	-2.1241071	6.79447568474404e-07
chr12:51752431-51752930	chr12	51752431	51752930	51752680	ENSG00000257851	HNRNPA3P10	processed_pseudogene	51713606	39074	39074	proximal	1.6402786	6.79447568474404e-07
chr4:128371108-128371607	chr4	128371108	128371607	128371357	ENSG00000251432	RP11-420A23.1	lincRNA	128292751	78606	78606	distal_unlinked	2.2485828	6.811380860362096e-07
chr21:34704126-34704625	chr21	34704126	34704625	34704375	ENSG00000230978	LINC00160	lincRNA	34737181	-32806	32806	proximal	2.4284282	6.904069563843297e-07
chr21:34881782-34882281	chr21	34881782	34882281	34882031	ENSG00000234380	LINC01426	antisense	34745757	136274	136274	distal_unlinked	1.6140671	6.904069563843297e-07
chr4:5730826-5731325	chr4	5730826	5731325	5731075	ENSG00000072840	EVC	protein_coding	5711197	19878	19878	proximal	-2.7003617	7.032953953839687e-07
chr15:80955758-80956257	chr15	80955758	80956257	80956007	ENSG00000259546	RP11-351M8.2	antisense	80948867	7140	7140	proximal	1.8873632	7.032953953839687e-07
chr8:66535630-66536129	chr8	66535630	66536129	66535879	ENSG00000206949	RNU6-1324P	snRNA	66501311	34568	34568	proximal	1.5359726	7.048359087995689e-07
chr2:168167183-168167682	chr2	168167183	168167682	168167432	ENSG00000238259	AC067940.1	processed_pseudogene	168232220	-64788	64788	distal_unlinked	2.4782395	7.048359087995689e-07
chr7:91249814-91250313	chr7	91249814	91250313	91250063	ENSG00000157240	FZD1	protein_coding	91264364	-14301	14301	proximal	2.109967	7.221276750732846e-07
chr4:73917140-73917639	chr4	73917140	73917639	73917389	ENSG00000249920	HNRNPA1P55	processed_pseudogene	73939558	-22169	22169	proximal	2.284741	7.83656273087433e-07
chr4:37392504-37393003	chr4	37392504	37393003	37392753	ENSG00000154274	C4orf19	protein_coding	37453941	-61188	61188	distal_unlinked	-1.5422467	8.123508016013978e-07
chr5:1099957-1100456	chr5	1099957	1100456	1100206	ENSG00000113504	SLC12A7	protein_coding	1112035	-11829	11829	proximal	-1.6627744	8.281896681066978e-07
chr1:119101569-119102068	chr1	119101569	119102068	119101818	ENSG00000223575	RBMX2P3	processed_pseudogene	119085954	15864	15864	proximal	2.3173347	8.292540214762667e-07
chr5:136032476-136032975	chr5	136032476	136032975	136032725	ENSG00000120708	TGFBI	protein_coding	136028895	3830	3830	proximal	2.036682	8.315579293165827e-07
chr8:101098442-101098941	chr8	101098442	101098941	101098691	ENSG00000253395	KB-1460A1.1	lincRNA	101126158	-27467	27467	proximal	1.7679756	8.932224946950821e-07
chr2:203804076-203804575	chr2	203804076	203804575	203804325	ENSG00000206970	RNU6-474P	snRNA	203782037	22288	22288	proximal	2.3973064	8.960457154221294e-07
chr17:62819723-62820222	chr17	62819723	62820222	62819972	ENSG00000265000	RP11-453A12.1	lincRNA	62808500	11472	11472	proximal	2.041381	9.92447193455655e-07
chr5:1555315-1555814	chr5	1555315	1555814	1555564	ENSG00000251532	CTD-2245E15.3	lincRNA	1551710	3854	3854	proximal	2.843445	1.003600329135396e-06
chr4:15527146-15527645	chr4	15527146	15527645	15527395	ENSG00000249930	AC007016.3	processed_pseudogene	15492972	34423	34423	proximal	-1.9501874	1.0813671461928994e-06
chr6:42315936-42316435	chr6	42315936	42316435	42316185	ENSG00000048544	MRPS10	protein_coding	42217865	98320	98320	distal_unlinked	1.4821815	1.1725547475434547e-06
chr7:46786017-46786516	chr7	46786017	46786516	46786266	ENSG00000242948	EPS15P1	transcribed_processed_pseudogene	46781373	4893	4893	proximal	2.4302077	1.1725547475434547e-06
chr1:230084505-230085004	chr1	230084505	230085004	230084754	ENSG00000143641	GALNT2	protein_coding	230057990	26764	26764	proximal	1.7019503	1.1725547475434547e-06
chr19:55452875-55453374	chr19	55452875	55453374	55453124	ENSG00000063241	ISOC2	protein_coding	55462343	-9219	9219	proximal	1.8380209	1.2312436699912777e-06
chr5:136028647-136029146	chr5	136028647	136029146	136028896	ENSG00000120708	TGFBI	protein_coding	136028895	1	1	promoter	1.8536983	1.2312436699912777e-06
chr9:15279010-15279509	chr9	15279010	15279509	15279259	ENSG00000155158	TTC39B	protein_coding	15307360	-28101	28101	proximal	-1.5639598	1.253154804231807e-06
chr5:159981667-159982166	chr5	159981667	159982166	159981916	ENSG00000199398	Y_RNA	misc_RNA	160008445	-26529	26529	proximal	2.548195	1.262622730797144e-06
chr8:116444739-116445238	chr8	116444739	116445238	116444988	ENSG00000253672	RP11-536K17.1	lincRNA	116403757	41231	41231	proximal	1.9425403	1.3491386797649234e-06
chr6:42088070-42088569	chr6	42088070	42088569	42088319	ENSG00000261068	RP11-7K24.3	lincRNA	42094259	-5940	5940	proximal	1.9982395	1.3506775283096088e-06
chr7:46930261-46930760	chr7	46930261	46930760	46930510	ENSG00000223829	AC004870.4	processed_transcript	46969702	-39192	39192	proximal	2.5822148	1.3706590072630091e-06
chr2:145693123-145693622	chr2	145693123	145693622	145693372	ENSG00000226218	AC079163.1	lincRNA	145603423	89949	89949	distal_unlinked	2.613883	1.41699996161934e-06
chr5:27241791-27242290	chr5	27241791	27242290	27242040	ENSG00000113100	CDH9	protein_coding	27121150	120890	120890	distal_unlinked	2.6253438	1.41699996161934e-06
chr7:13945495-13945994	chr7	13945495	13945994	13945744	ENSG00000006468	ETV1	protein_coding	13991425	-45681	45681	proximal	2.561267	1.4197384810550452e-06
chr9:95134543-95135042	chr9	95134543	95135042	95134792	ENSG00000251884	RNA5SP288	rRNA	95142541	-7749	7749	proximal	-2.0201602	1.4216779585528162e-06
chr22:17851691-17852190	chr22	17851691	17852190	17851940	ENSG00000093100	XXbac-B461K10.4	processed_transcript	17811497	40443	40443	proximal	-2.6583085	1.429354508074622e-06
chr5:57482593-57483092	chr5	57482593	57483092	57482842	ENSG00000169067	ACTBL2	protein_coding	57482809	33	33	promoter	2.2709486	1.431676963211451e-06
chr2:236730377-236730876	chr2	236730377	236730876	236730626	ENSG00000232328	AC011286.1	lincRNA	236733382	-2756	2756	proximal	-2.0022693	1.4418612504310144e-06
chr18:63758575-63759074	chr18	63758575	63759074	63758824	ENSG00000166396	SERPINB7	protein_coding	63752935	5889	5889	proximal	-1.9034054	1.4501190076101154e-06
chr17:4496870-4497369	chr17	4496870	4497369	4497119	ENSG00000183018	SPNS2	protein_coding	4498838	-1719	1719	promoter	-1.1867719	1.4501190076101154e-06
chr21:34836581-34837080	chr21	34836581	34837080	34836830	ENSG00000234380	LINC01426	antisense	34745757	91073	91073	distal_unlinked	1.7420695	1.4501190076101154e-06
chr22:16543336-16543835	chr22	16543336	16543835	16543585	ENSG00000273362	KB-67B5.17	lincRNA	16521059	22526	22526	proximal	2.061509	1.4604814881121336e-06
chr5:180353194-180353693	chr5	180353194	180353693	180353443	ENSG00000131459	GFPT2	protein_coding	180353387	56	56	promoter	1.6265438	1.4604814881121336e-06
chr16:77212819-77213318	chr16	77212819	77213318	77213068	ENSG00000226348	VN2R10P	unitary_pseudogene	77220406	-7338	7338	proximal	1.5076923	1.4604814881121336e-06
chr7:32680679-32681178	chr7	32680679	32681178	32680928	ENSG00000237004	ZNRF2P1	processed_pseudogene	32728569	-47641	47641	proximal	3.4997346	1.4604814881121336e-06
chr8:22560843-22561342	chr8	22560843	22561342	22561092	ENSG00000254230	RP11-582J16.3	antisense	22567171	-6079	6079	proximal	1.8124976	1.5769563285110756e-06
chr1:204345416-204345915	chr1	204345416	204345915	204345665	ENSG00000219133	RP11-203F10.6	processed_pseudogene	204347258	-1593	1593	promoter	-1.668319	1.655069438166734e-06
chr7:76297262-76297761	chr7	76297262	76297761	76297511	ENSG00000106211	HSPB1	protein_coding	76302544	-5033	5033	proximal	2.1914427	1.6660576861421415e-06
chr7:25857831-25858330	chr7	25857831	25858330	25858080	ENSG00000270933	CTD-2227E11.1	lincRNA	25949403	-91323	91323	distal_unlinked	1.3749948	1.7853592908898348e-06
chr2:109285340-109285839	chr2	109285340	109285839	109285589	ENSG00000265965	MIR4266	miRNA	109313625	-28036	28036	proximal	-2.2043705	1.7943607648795443e-06
chrX:153226391-153226890	chrX	153226391	153226890	153226640	ENSG00000273877	RP11-635O16.2	lincRNA	153225649	991	991	promoter	2.9527261	1.7943607648795443e-06
chr3:72891011-72891510	chr3	72891011	72891510	72891260	ENSG00000172986	GXYLT2	protein_coding	72888073	3187	3187	proximal	2.7290082	1.86986391097286e-06
chr13:76852857-76853356	chr13	76852857	76853356	76853106	ENSG00000178695	KCTD12	protein_coding	76886390	-33284	33284	proximal	1.9689381	1.86986391097286e-06
chr2:109188520-109189019	chr2	109188520	109189019	109188769	ENSG00000264934	MIR4265	miRNA	109141588	47181	47181	proximal	-1.9359882	1.8823507984811984e-06
chr2:208529327-208529826	chr2	208529327	208529826	208529576	ENSG00000232409	AC019185.3	processed_pseudogene	208516908	12668	12668	proximal	-1.777628	1.8944303303381857e-06
chr5:136029416-136029915	chr5	136029416	136029915	136029665	ENSG00000120708	TGFBI	protein_coding	136028895	770	770	promoter	1.3186576	1.944789636190845e-06
chr21:34771463-34771962	chr21	34771463	34771962	34771712	ENSG00000234380	LINC01426	antisense	34745757	25955	25955	proximal	2.1741781	1.966750916706103e-06
chr14:31927445-31927944	chr14	31927445	31927944	31927694	ENSG00000257472	RP11-159D23.2	lincRNA	31930146	-2452	2452	proximal	-1.1355786	1.966750916706103e-06
