gene_raw	rna_log2fc	rna_fdr	gene_name	peak_id	chrom	start	end	midpoint	gene_id	gene_type	tss	distance_to_tss	abs_distance_to_tss	link_class	atac_delta	atac_fdr	abs_atac_delta	atac_strength	rna_strength	combined_evidence_score
CTHRC1	3.145227147803196	3.811903336490471e-50	CTHRC1	chr8:103344750-103345249	chr8	103344750	103345249	103344999	ENSG00000164932	protein_coding	103371515	-26516	26516	proximal	1.8735247	2.292655750426508e-06	1.8735247	7.51318585107642	52.56408526868084	60.07727111975726
SLC43A3	1.7041257898985531	1.6205606866480776e-49	SLC43A3	chr11:57426922-57427421	chr11	57426922	57427421	57427171	ENSG00000134802	protein_coding	57427580	-409	409	promoter	1.7067709	2.023988016675432e-08	1.7067709	9.400562963130232	50.49446049079513	59.89502345392536
SEMA6A-AS1	2.299113140146228	4.9112624769104835e-48	SEMA6A-AS1	chr5:116491940-116492439	chr5	116491940	116492439	116492189	ENSG00000248445	antisense	116447547	44642	44642	proximal	1.8752482	3.560854029481188e-07	1.8752482	8.323694029046944	49.607919995013255	57.931614024060195
CMTM3	1.5164182657887484	2.438483789187649e-48	CMTM3	chr16:66618510-66619009	chr16	66618510	66619009	66618759	ENSG00000140931	protein_coding	66603874	14885	14885	proximal	2.2591248	4.376458287749917e-07	2.2591248	8.618002006459912	49.1292983930007	57.74730039946061
GRB10	1.4304970535818262	8.071885612487869e-50	GRB10	chr7:50771252-50771751	chr7	50771252	50771751	50771501	ENSG00000106070	protein_coding	50793462	-21961	21961	proximal	-1.5163825	1.84597330614835e-05	1.5163825	6.250157083416441	50.523522054740646	56.773679138157085
TMEM92-AS1	3.666749143238261	3.978817371070269e-44	TMEM92-AS1	chr17:50289955-50290454	chr17	50289955	50290454	50290204	ENSG00000251179	antisense	50287855	2349	2349	proximal	1.6599739	5.718633597369926e-08	1.6599739	8.902681628551779	47.06699513788345	55.96967676643523
MAP3K12	1.3407973602244714	1.1284515839877808e-45	MAP3K12	chr12:53496232-53496731	chr12	53496232	53496731	53496481	ENSG00000139625	protein_coding	53500063	-3582	3582	proximal	1.5888886	1.9755062769709144e-06	1.5888886	7.293210186053655	46.288314429737596	53.58152461579125
CTSH	-1.2531877890964809	8.488929841466693e-43	CTSH	chr15:78934164-78934663	chr15	78934164	78934663	78934413	ENSG00000103811	protein_coding	78949574	-15161	15161	proximal	-1.7177753	4.882930414856305e-07	1.7177753	8.029094764669237	43.32433484481717	51.35342960948641
LTBR	1.0202041058164977	8.200448365961149e-43	LTBR	chr12:6372368-6372867	chr12	6372368	6372867	6372617	ENSG00000111321	protein_coding	6375045	-2428	2428	proximal	1.3999903	4.4530592371980245e-07	1.3999903	7.751331827591186	43.10636650739139	50.85769833498258
COL27A1	1.7555812439268574	3.913646846696703e-43	COL27A1	chr9:114163456-114163955	chr9	114163456	114163955	114163705	ENSG00000196739	protein_coding	114155560	8145	8145	proximal	-1.5251188	9.98009188976718e-06	1.5251188	6.525984260011716	44.16299960999643	50.68898387000815
Y_RNA	5.618419115366999	2.954312416791892e-37	Y_RNA	chr5:159981667-159982166	chr5	159981667	159982166	159981916	ENSG00000199398	misc_RNA	160008445	-26529	26529	proximal	2.548195	1.262622730797144e-06	2.548195	8.446921396403479	42.14796269557778	50.59488409198126
RASGRP3	1.0370939112301836	3.895704740602313e-42	RASGRP3	chr2:33405727-33406226	chr2	33405727	33406226	33405976	ENSG00000152689	protein_coding	33436324	-30348	30348	proximal	1.991353	4.680162228162992e-06	1.991353	7.321092092743205	42.44650787739382	49.76759997013703
BCKDHB	-1.2936452825332263	9.833179657929131e-39	BCKDHB	chr6:80128385-80128884	chr6	80128385	80128884	80128634	ENSG00000083123	protein_coding	80106647	21987	21987	proximal	1.7910321	3.5792559558128053e-07	1.7910321	8.237239343710462	39.300951308485054	47.53819065219552
FZD1	1.260162785500238	1.090015920283338e-37	FZD1	chr7:91249814-91250313	chr7	91249814	91250313	91250063	ENSG00000157240	protein_coding	91264364	-14301	14301	proximal	2.109967	7.221276750732846e-07	2.109967	8.251353010632924	38.22272994440299	46.47408295503592
CDCA7	2.008591075211907	1.762485195208573e-37	CDCA7	chr2:173354597-173355096	chr2	173354597	173355096	173354846	ENSG00000144354	protein_coding	173354820	26	26	promoter	1.3416015	1.0755531582487838e-05	1.3416015	6.3099696201313815	38.76246559758604	45.07243521771743
LINC01426	2.671174126241511	2.877574017474669e-34	LINC01426	chr21:34771463-34771962	chr21	34771463	34771962	34771712	ENSG00000234380	antisense	34745757	25955	25955	proximal	2.1741781	1.966750916706103e-06	2.1741781	7.880428738733353	36.2121476227955	44.09257636152885
LINC00160	4.371454389112417	1.940563031107161e-30	LINC00160	chr21:34705046-34705545	chr21	34705046	34705545	34705295	ENSG00000230978	lincRNA	34737181	-31886	31886	proximal	2.2057133	2.6092603822151655e-07	2.2057133	8.789195879804838	34.083526635559984	42.87272251536482
G6PC	-3.5409282526537997	6.672552890437727e-32	G6PC	chr17:42900299-42900798	chr17	42900299	42900798	42900548	ENSG00000131482	protein_coding	42900797	-249	249	promoter	-1.6923072	3.9390774518731973e-07	1.6923072	8.096912679817807	34.71663622771629	42.8135489075341
LINC01271	3.710012252919196	7.142361862079531e-31	LINC01271	chr20:50333753-50334252	chr20	50333753	50334252	50334002	ENSG00000233077	lincRNA	50321342	12660	12660	proximal	2.1941285	4.376458287749917e-07	2.1941285	8.553005706459913	33.85617040332073	42.409176109780645
LGR6	-1.583907437299019	1.975090178974688e-30	LGR6	chr1:202235784-202236283	chr1	202235784	202236283	202236033	ENSG00000133067	protein_coding	202193901	42132	42132	proximal	2.1772308	3.655247028237048e-07	2.1772308	8.614314067303944	31.288320507798822	39.902634575102766
Metazoa_SRP	3.566647066651828	2.888289341835344e-29	Metazoa_SRP	chr10:14397029-14397528	chr10	14397029	14397528	14397278	ENSG00000278100	misc_RNA	14391875	5403	5403	proximal	2.7078142	2.53761633646232e-05	2.7078142	7.303388238487411	32.106006369004874	39.40939460749229
MEIS3	1.4591170249185004	6.047268628882703e-27	MEIS3	chr19:47428145-47428644	chr19	47428145	47428644	47428394	ENSG00000105419	protein_coding	47419523	8871	8871	proximal	2.4544773	3.359753753193196e-07	2.4544773	8.928169852237657	27.677557763861724	36.60572761609938
FHOD3	-1.2839190929563806	2.0539901660489164e-28	FHOD3	chr18:36309420-36309919	chr18	36309420	36309919	36309669	ENSG00000134775	protein_coding	36297714	11955	11955	proximal	1.3850911	5.909352119463355e-06	1.3850911	6.613551231024953	28.971320732975023	35.58487196399997
EVC	-1.211423200827627	8.479428208161699e-25	EVC	chr4:5730826-5731325	chr4	5730826	5731325	5731075	ENSG00000072840	protein_coding	5711197	19878	19878	proximal	-2.7003617	7.032953953839687e-07	2.7003617	8.853223925990378	25.283056633289387	34.13628055927977
DHRS4	-1.0512745142472222	2.25909613298073e-25	DHRS4	chr14:23951781-23952280	chr14	23951781	23952280	23952030	ENSG00000157326	protein_coding	23953586	-1556	1556	promoter	-1.7837917	3.2125640649360854e-06	1.7837917	7.276939902875965	25.697339802080847	32.974279704956814
AL353803.1	2.5051563175387788	3.4575482012646194e-24	AL353803.1	chr9:129473813-129474312	chr9	129473813	129474312	129474062	ENSG00000264298	miRNA	129478556	-4494	4494	proximal	-1.2223184	2.532765971428063e-06	1.2223184	6.818723337336542	25.966388074267968	32.78511141160451
GXYLT2	1.9475943281541008	7.148434611779651e-23	GXYLT2	chr3:72891011-72891510	chr3	72891011	72891510	72891260	ENSG00000172986	protein_coding	72888073	3187	3187	proximal	2.7290082	1.86986391097286e-06	2.7290082	8.45719820034277	24.09338337920581	32.55058157954858
CLIC3	1.6346424714854224	8.756672225948962e-23	CLIC3	chr9:137007697-137008196	chr9	137007697	137008196	137007946	ENSG00000169583	protein_coding	136996803	11143	11143	proximal	-2.3768542	6.209238261198094e-07	2.3768542	8.583815875064909	23.69230337770167	32.27611925276658
MIOX	-2.327758691832242	7.155843134965029e-22	MIOX	chr22:50490866-50491365	chr22	50490866	50491365	50491115	ENSG00000100253	protein_coding	50486784	4331	4331	proximal	-1.8978364	3.3021242199824536e-06	1.8978364	7.379042993387522	23.473097880110995	30.852140873498517
RPL3P4	1.2827660578784144	1.0773389795045372e-17	RPL3P4	chr14:98957117-98957616	chr14	98957117	98957616	98957366	ENSG00000232573	processed_pseudogene	98973301	-15935	15935	proximal	2.8433309	2.476551254502914e-10	2.8433309	12.449483579465314	18.250413684417648	30.69989726388296
TUBA8	1.392618283490933	1.6953117758804718e-21	TUBA8	chr22:18110115-18110614	chr22	18110115	18110614	18110364	ENSG00000183785	protein_coding	18110331	33	33	promoter	-1.524895	2.272758176779687e-07	1.524895	8.168341771084187	22.16336870479069	30.33171047587488
AC004870.4	-2.998056659288711	2.5204293019336898e-18	AC004870.4	chr7:46930261-46930760	chr7	46930261	46930760	46930510	ENSG00000223829	processed_transcript	46969702	-39192	39192	proximal	2.5822148	1.3706590072630091e-06	2.5822148	8.44528537561428	20.59658213930811	29.04186751492239
ALDH1B1	-1.2807785230276514	4.3161464918346616e-21	ALDH1B1	chr9:38380984-38381483	chr9	38380984	38381483	38381233	ENSG00000137124	protein_coding	38392664	-11431	11431	proximal	-1.8565501	3.2371289594488826e-06	1.8565501	7.346390099002912	21.64568234662851	28.992072445631422
NEAT1	1.6494370157299634	1.977833094808639e-21	NEAT1	chr11:65412646-65413145	chr11	65412646	65413145	65412895	ENSG00000245532	lincRNA	65422774	-9879	9879	proximal	-1.0803993	7.5170950471677616e-06	1.0803993	6.204349258440946	22.353247376124006	28.557596634564952
ENTPD8	-1.7338120768572671	4.300101896537935e-20	ENTPD8	chr9:137437592-137438091	chr9	137437592	137438091	137437841	ENSG00000188833	protein_coding	137441816	-3975	3975	proximal	-1.4259074	2.508669696356933e-06	1.4259074	7.026463916243269	21.100333329980046	28.126797246223315
CD82	-1.3458145588043269	4.174727049048106e-20	CD82	chr11:44574547-44575046	chr11	44574547	44575046	44574796	ENSG00000085117	protein_coding	44564427	10369	10369	proximal	1.7828736	2.643941693136753e-06	1.7828736	7.360621726579809	20.725186472988867	28.085808199568675
RN7SL130P	1.5684158380625115	8.271528599978103e-20	RN7SL130P	chr1:63662068-63662567	chr1	63662068	63662567	63662317	ENSG00000244256	misc_RNA	63655743	6574	6574	proximal	1.9472911	6.676194946808888e-06	1.9472911	7.122762090284097	20.650830062344305	27.773592152628403
LINC01508	1.5149203058773957	9.288111362579024e-21	LINC01508	chr9:90458404-90458903	chr9	90458404	90458903	90458653	ENSG00000231107	lincRNA	90433505	25148	25148	proximal	-1.371787	1.4300110983743192e-05	1.371787	6.216447591944714	21.546992892012554	27.763440483957268
SERPINA2	-2.8104298388961886	1.2361631261788205e-17	SERPINA2	chr14:94373647-94374146	chr14	94373647	94374146	94373896	ENSG00000258597	polymorphic_pseudogene	94366698	7198	7198	proximal	1.9065659	3.3021242199824536e-06	1.9065659	7.387772493387521	19.718354054126635	27.106126547514158
HOXC13	1.9108159396991355	1.100566989891743e-18	HOXC13	chr12:53938378-53938877	chr12	53938378	53938877	53938627	ENSG00000123364	protein_coding	53938765	-138	138	promoter	1.7536788	9.589380092831716e-06	1.7536788	6.7718882669653375	19.869199457139732	26.64108772410507
ADAM12	1.8995307002224	4.670893831210211e-18	ADAM12	chr10:126397964-126398463	chr10	126397964	126398463	126398213	ENSG00000148848	protein_coding	126388455	9758	9758	proximal	2.3891973	2.42746051290322e-05	2.3891973	7.004045125958667	19.230130704277705	26.234175830236374
FAM102A	-1.091285622279829	5.703595902009245e-17	FAM102A	chr9:127973440-127973939	chr9	127973440	127973939	127973689	ENSG00000167106	protein_coding	127980513	-6824	6824	proximal	-1.3827575	1.802077044240864e-07	1.3827575	8.126984145558174	17.335136873974655	25.46212101953283
KNDC1	1.6563683150530977	4.309330257817201e-14	KNDC1	chr10:133159780-133160279	chr10	133159780	133160279	133160029	ENSG00000171798	protein_coding	133160447	-418	418	promoter	2.6065373	3.560854029481188e-07	2.6065373	9.054983129046944	15.02195853629278	24.076941665339724
EPS8L1	-1.5629915317419334	1.2504253515504936e-12	EPS8L1	chr19:55080082-55080581	chr19	55080082	55080581	55080331	ENSG00000131037	protein_coding	55072020	8311	8311	proximal	2.779056	6.16147407498981e-08	2.779056	9.989371374515928	13.46593376160694	23.455305136122867
ENTPD2	1.2334981413074977	2.9067610714071694e-15	ENTPD2	chr9:137055033-137055532	chr9	137055033	137055532	137055282	ENSG00000054179	protein_coding	137054045	1237	1237	promoter	-1.1892776	3.2731432112227428e-06	1.1892776	6.674312592405677	15.770088806005576	22.44440139841125
S100A12	1.304473513687599	1.9145346996228504e-11	S100A12	chr1:153375450-153375949	chr1	153375450	153375949	153375699	ENSG00000163221	protein_coding	153375649	50	50	promoter	2.6717181	3.140684784011676e-08	2.6717181	10.174693749540351	12.022410271644183	22.197104021184536
GAPDHP44	1.23142387862468	8.561033483303103e-15	GAPDHP44	chr12:62724858-62725357	chr12	62724858	62725357	62725107	ENSG00000213352	processed_pseudogene	62755227	-30120	30120	proximal	1.5886581	9.871126427163922e-06	1.5886581	6.5942913857104735	15.298897682989237	21.893189068699712
IL12B	1.7832073084405964	1.1543543377596962e-12	IL12B	chr5:159341780-159342279	chr5	159341780	159342279	159342029	ENSG00000113302	protein_coding	159330887	11142	11142	proximal	1.2780658	4.882930414856305e-07	1.2780658	7.589385264669238	13.720868169193698	21.310253433862936
AC093732.1	1.7704282508639122	1.0661590787212676e-11	AC093732.1	chr2:47043522-47044021	chr2	47043522	47044021	47043771	ENSG00000233845	antisense	47040524	3247	3247	proximal	1.8107785	2.5081994770433244e-07	1.8107785	8.411416427038219	12.742606241429986	21.154022668468205
SLC6A12	-1.1355222506602285	1.850067866350509e-13	SLC6A12	chr12:229310-229809	chr12	229310	229809	229559	ENSG00000111181	protein_coding	214570	14989	14989	proximal	-1.896575	2.6007110881021145e-05	1.896575	6.481482890715359	13.868334590667525	20.349817481382885
ENPP7P7	1.590423001560395	2.0843582930414974e-12	ENPP7P7	chr11:67873170-67873669	chr11	67873170	67873669	67873419	ENSG00000273819	unprocessed_pseudogene	67873367	52	52	promoter	-1.7762208	9.383871870090826e-06	1.7762208	6.80383873082565	13.271450626992342	20.075289357817994
IGLV3-9	2.007352340615615	1.1875469411026435e-10	IGLV3-9	chr22:22817746-22818245	chr22	22817746	22818245	22817995	ENSG00000211670	IG_V_gene	22819010	-1015	1015	promoter	-1.9141037	7.560071488116866e-06	1.9141037	7.03557779778611	11.932701555279607	18.968279353065718
GCNT1P3	2.663788338194869	5.692051743817337e-09	GCNT1P3	chr3:190586445-190586944	chr3	190586445	190586944	190586694	ENSG00000231047	processed_pseudogene	190624595	-37901	37901	proximal	1.4119432	3.472934685959072e-06	1.4119432	6.871246584208469	10.90851949879383	17.7797660830023
RASGEF1A	1.0396666681124205	1.663054796259725e-10	RASGEF1A	chr10:43265788-43266287	chr10	43265788	43266287	43266037	ENSG00000198915	protein_coding	43266919	-882	882	promoter	-1.7400181	1.0003640491014696e-05	1.7400181	6.739860024256011	10.818760109018479	17.558620133274488
GPRC5A	-1.4937239409254006	4.763251373903258e-09	GPRC5A	chr12:12901365-12901864	chr12	12901365	12901864	12901614	ENSG00000013588	protein_coding	12890782	10832	10832	proximal	2.6576986	2.3745630559807365e-05	2.6576986	7.282114893337855	9.815820439527526	17.097935332865383
GIP	2.8920909161716297	4.0731665190044107e-07	GIP	chr17:48972286-48972785	chr17	48972286	48972785	48972535	ENSG00000159224	protein_coding	48968596	3939	3939	proximal	1.8333572	3.689612856514286e-06	1.8333572	7.2663764010767755	9.282158750915862	16.54853515199264
LUM	-1.2685701858657643	4.1344480859468923e-07	LUM	chr12:91098842-91099341	chr12	91098842	91099341	91099091	ENSG00000139329	protein_coding	91111831	-12740	12740	proximal	2.2155383	2.6092603822151655e-07	2.2155383	8.799020879804837	7.652152642769352	16.451173522574187
LINC00330	-1.5276690866634854	2.295789393141472e-06	LINC00330	chr13:44815638-44816137	chr13	44815638	44816137	44815887	ENSG00000235097	lincRNA	44809630	6257	6257	proximal	2.173481	6.721915749354547e-07	2.173481	8.345987935160162	7.1667370416099025	15.512724976770064
SERPINB7	-1.3403853704404538	4.609827291209944e-06	SERPINB7	chr18:63758575-63759074	chr18	63758575	63759074	63758824	ENSG00000166396	protein_coding	63752935	5889	5889	proximal	-1.9034054	1.4501190076101154e-06	1.9034054	7.742001754849495	6.676700715740513	14.41870247059001
PTGS2	-1.1142218068189294	1.1697926296086498e-06	PTGS2	chr1:186680125-186680624	chr1	186680125	186680624	186680374	ENSG00000073756	protein_coding	186680427	-53	53	promoter	1.7955699	1.6455257538135563e-05	1.7955699	6.579265216255302	7.046112926097299	13.625378142352602
LINC00365	-1.0815754164521325	2.0026068784627314e-06	LINC00365	chr13:30125589-30126088	chr13	30125589	30126088	30125838	ENSG00000224511	lincRNA	30108875	16963	16963	proximal	1.9224246	2.4674219006862112e-05	1.9224246	6.530181184813465	6.779979712925344	13.310160897738808
CTD-3080P12.3	-1.219914445109708	9.942645594083453e-06	CTD-3080P12.3	chr5:1185813-1186312	chr5	1185813	1186312	1186062	ENSG00000249201	antisense	1178605	7457	7457	proximal	-1.9127009	7.655342805001908e-06	1.9127009	7.028736256894228	6.222412485859627	13.251148742753855
MEG9	1.1238575921397838	4.1771756268758416e-05	MEG9	chr14:101073166-101073665	chr14	101073166	101073665	101073415	ENSG00000223403	lincRNA	101069911	3504	3504	proximal	2.0271182	3.307478276049762e-06	2.0271182	7.507621199634096	5.502974856836456	13.010596056470552
LINC00113	-1.1982564539121177	5.652187434748468e-05	LINC00113	chr21:27693381-27693880	chr21	27693381	27693880	27693630	ENSG00000225298	lincRNA	27722379	-28749	28749	proximal	2.442616	1.575704188685066e-05	2.442616	7.2451413105012525	5.44603989866071	12.691181209161963
IGKV1OR22-5	1.558013148454937	0.0004208058589675	IGKV1OR22-5	chr22:16901579-16902078	chr22	16901579	16902078	16901828	ENSG00000230481	IG_V_pseudogene	16904696	-2868	2868	proximal	1.9258049	1.9755062769709144e-06	1.9258049	7.630126486053656	4.933931370494756	12.564057856548413
AC083900.1	1.0331752269773875	3.9666906394552574e-06	AC083900.1	chr2:207869820-207870319	chr2	207869820	207870319	207870069	ENSG00000225111	sense_intronic	207869915	154	154	promoter	1.3701683	2.040217868340697e-05	1.3701683	6.0604917531790345	6.434746895627626	12.49523864880666
EPS15P1	1.081251903496428	0.0015293626706791	EPS15P1	chr7:46786017-46786516	chr7	46786017	46786516	46786266	ENSG00000242948	transcribed_processed_pseudogene	46781373	4893	4893	proximal	2.4302077	1.1725547475434547e-06	2.4302077	8.361074570573699	3.896741417954706	12.257815988528405
TUB-AS1	-1.1278012671538054	0.0005420925365889	TUB-AS1	chr11:8059667-8060166	chr11	8059667	8060166	8059916	ENSG00000248332	sense_intronic	8060038	-122	122	promoter	-2.4209762	5.1533956756671225e-06	2.4209762	7.708882711301435	4.393727839103186	12.10261055040462
MIR31HG	-1.0370646291351755	0.0002046963008005	MIR31HG	chr9:21591581-21592080	chr9	21591581	21592080	21591830	ENSG00000171889	sense_overlapping	21559669	32161	32161	proximal	1.2974768	1.9236773478517868e-05	1.2974768	6.013344568991724	4.72595463481877	10.739299203810493
ADIPOQ	-1.323432364531828	0.0334233946646257	ADIPOQ	chr3:186839825-186840324	chr3	186839825	186840324	186840074	ENSG00000181092	protein_coding	186842690	-2616	2616	proximal	2.6829808	1.454080735191814e-05	2.6829808	7.520392279395219	2.799381807387259	10.319774086782479
AC093702.1	1.0286895918174697	0.0035804154394152	AC093702.1	chr2:45024775-45025274	chr2	45024775	45025274	45025024	ENSG00000231156	lincRNA	45013668	11356	11356	proximal	1.7945436	9.407838711573726e-06	1.7945436	6.821053736768996	3.474756170598779	10.295809907367776
C8A	1.0958385567113906	0.0308387427291548	C8A	chr1:56897613-56898112	chr1	56897613	56898112	56897862	ENSG00000157131	protein_coding	56854806	43056	43056	proximal	-1.8552848	1.0088415471277076e-05	1.8552848	6.851461840514325	2.6067418928097963	9.458203733324122
